Date,Max Temp,Min Temp,Avg Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
1991-01-01,69,43,56,0.8,9,0,0,0,0
1991-01-02,71,41,56,0.7,9,0,0,0,0
1991-01-03,73,42,57.5,2.1,7,0,0,0,0
1991-01-04,75,43,59,3.5,6,0,0,0,0
1991-01-05,76,44,60,4.4,5,0,0,0,0
1991-01-06,77,45,61,5.3,4,0,0,0,0
1991-01-07,75,46,60.5,4.6,4,0,0,0,0
1991-01-08,73,47,60,3.9,5,0,0,0,0
1991-01-09,71,45,58,1.8,7,0,0,0,0
1991-01-10,70,44,57,0.7,8,0,0,0,0
1991-01-11,72,43,57.5,1.1,7,0,0,0,0
1991-01-12,74,42,58,1.5,7,0,0,0,0
1991-01-13,75,41,58,1.4,7,0,0,0,0
1991-01-14,73,40,56.5,-0.2,8,0,0,0,0
1991-01-15,71,39,55,-1.8,10,0,0,0,0
1991-01-16,70,38,54,-2.9,11,0,0,0,0
1991-01-17,72,37,54.5,-2.5,10,0,0,0,0
1991-01-18,74,36,55,-2.1,10,0,0,0,0
1991-01-19,75,35,55,-2.2,10,0,0,0,0
1991-01-20,73,34,53.5,-3.8,11,0,0,0,0
1991-01-21,71,33,52,-5.4,13,0,0,0,0
1991-01-22,70,32,51,-6.5,14,0,0,0,0
1991-01-23,72,31,51.5,-6.1,13,0,0,0,0
1991-01-24,74,30,52,-5.7,13,0,0,0,0
1991-01-25,75,29,52,-5.8,13,0,0,0,0
1991-01-26,73,28,50.5,-7.4,14,0,0,0,0
1991-01-27,71,27,49,-9.0,16,0,0,0,0
1991-01-28,70,26,48,-10.1,17,0,0,0,0
1991-01-29,72,25,48.5,-9.7,16,0,0,0,0
1991-01-30,74,24,49,-9.3,16,0,0,0,0
1991-01-31,75,23,49,-9.4,16,0,0,0,0
